qx,Integral,Error,Time
#Total time is  651.3999001979828 seconds.
0.010, 9.89680138E-01, 1.019E-05, 4.304E+01
0.032, 9.86521402E-01, 6.076E-06, 4.268E+01
0.054, 9.85721961E-01, 4.756E-06, 4.256E+01
0.075, 9.86657735E-01, 3.618E-06, 4.248E+01
0.097, 9.86681067E-01, 3.172E-06, 4.225E+01
0.119, 9.85462260E-01, 3.260E-06, 4.214E+01
0.141, 9.85135037E-01, 2.901E-06, 4.213E+01
0.163, 9.85275161E-01, 2.674E-06, 4.243E+01
0.184, 9.84035181E-01, 2.418E-06, 4.190E+01
0.206, 9.82035538E-01, 2.007E-06, 4.219E+01
0.228, 9.79517281E-01, 1.909E-06, 4.209E+01
0.250, 9.76222412E-01, 2.335E-06, 4.204E+01
0.271, 9.73237468E-01, 1.950E-06, 4.191E+01
0.293, 9.64334237E-01, 1.859E-06, 4.183E+01
0.315, 8.96617593E-01, 2.153E-06, 4.186E+01

