qx, Integral, Error, Time
0.010, 9.90388275E-01, 9.833E-06, 3.846E+01
0.032, 9.86583807E-01, 5.986E-06, 3.785E+01
0.054, 9.85958428E-01, 4.787E-06, 3.788E+01
0.075, 9.86469553E-01, 3.953E-06, 3.770E+01
0.097, 9.86331337E-01, 3.459E-06, 3.771E+01
0.119, 9.85514404E-01, 2.841E-06, 3.783E+01
0.141, 9.85101694E-01, 2.748E-06, 3.777E+01
0.163, 9.85489821E-01, 2.688E-06, 3.788E+01
0.184, 9.84710350E-01, 2.541E-06, 3.768E+01
0.206, 9.82118289E-01, 2.069E-06, 3.756E+01
0.228, 9.79583247E-01, 2.208E-06, 3.775E+01
0.250, 9.76200506E-01, 1.914E-06, 3.756E+01
0.271, 9.73465920E-01, 2.059E-06, 3.790E+01
0.293, 9.64119480E-01, 2.075E-06, 3.768E+01
0.315, 8.96710645E-01, 2.205E-06, 3.767E+01
